codigo_ocorrencia,codigo_fator,fator,aspecto,condicionante,area,detalhe_fator
25799,11010                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
25819,11015                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
25820,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
25839,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
25999,                                                                                                                                ,                                                                                                ,                             ,                                           ,                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26099,11045                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26119,11048                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26120,11052                                                                                                                           ,APLICAÇÃO DE COMANDOS                                                                           ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26121,11060                                                                                                                           ,SUPERVISÃO GERENCIAL                                                                            ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26139,15728                                                                                                                           ,JULGAMENTO DE PILOTAGEM                                                                         ,DESEMPENHO DO SER HUMANO     ,OPERAÇÃO DA AERONAVE                       ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
26140,11063                                                                                                                           ,INCONSCIÊNCIA                                                                                   ,ASPECTO MÉDICO               ,***                                        ,FATOR HUMANO     ,"EM VIRTUDE DE O PILOTO APRESENTAR UM HISTÓRICO DE PROBLEMAS ESTOMACAIS E INTESTINAIS, ALÉM DOS VÁRIOS REPORTES DE QUE O MESMO SE SENTIU MAL DURANTE A NOITE QUE ANTECEDEU AO ACIDENTE, É POSSÍVEL QUE ALGUM PROBLEMA DE ORDEM FISIOLÓGICA TENHA OCORRIDO DURANTE O VÔO, INCAPACITANDO O PILOTO PARA MANTER O CONTROLE DO HELICÓPTERO.                                                                                                                                                                                               "
26179,11068                                                                                                                           ,MANUTENÇÃO DE AERONAVE                                                                          ,DESEMPENHO DO SER HUMANO     ,MANUTENÇÃO DA AERONAVE                     ,FATOR OPERACIONAL,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
