codigo_ocorrencia,mes,ano,dia_semana,hora,codigo_tempo
25799, 1, 2006, 2, 11,2006/01/02 11:00:00.000
25819, 1, 2006, 5, 20,2006/01/12 20:00:00.000
25820, 1, 2006, 2, 12,2006/01/02 12:00:00.000
25839, 1, 2006, 3, 0,2006/01/03 00:00:00.000
25999, 1, 2006, 5, 14,2006/01/12 14:00:00.000
26099, 1, 2006, 7, 13,2006/01/21 13:00:00.000
26119, 2, 2006, 7, 19,2006/02/11 19:00:00.000
26120, 1, 2006, 7, 11,2006/01/21 11:00:00.000
26121, 1, 2006, 2, 14,2006/01/16 14:00:00.000
26139, 2, 2006, 4, 16,2006/02/01 16:00:00.000
26140, 1, 2006, 1, 20,2006/01/22 20:00:00.000
26179, 2, 2006, 7, 10,2006/02/18 10:00:00.000
26259, 1, 2006, 6, 0,2006/01/20 00:00:00.000
26421, 2, 2006, 7, 11,2006/02/18 11:00:00.000
26439, 3, 2006, 6, 19,2006/03/03 19:00:00.000
26480, 3, 2006, 4, 11,2006/03/15 11:00:00.000
26521, 3, 2006, 3, 10,2006/03/21 10:00:00.000
26559, 2, 2006, 2, 1,2006/02/13 01:00:00.000
26560, 3, 2006, 3, 2,2006/03/28 02:00:00.000
26562, 3, 2006, 4, 19,2006/03/22 19:00:00.000
26609, 3, 2006, 1, 13,2006/03/26 13:00:00.000
26610, 3, 2006, 6, 15,2006/03/24 15:00:00.000
26619, 3, 2006, 6, 18,2006/03/03 18:00:00.000
26620, 3, 2006, 6, 20,2006/03/31 20:00:00.000
26621, 3, 2006, 3, 13,2006/03/07 13:00:00.000
26622, 3, 2006, 1, 0,2006/03/05 00:00:00.000
26642, 3, 2006, 6, 3,2006/03/31 03:00:00.000
26643, 3, 2006, 3, 16,2006/03/21 16:00:00.000
26660, 2, 2006, 3, 16,2006/02/28 16:00:00.000
26679, 4, 2006, 4, 16,2006/04/12 16:00:00.000
26719, 4, 2006, 5, 17,2006/04/27 17:00:00.000
26720, 4, 2006, 4, 13,2006/04/26 13:00:00.000
26723, 4, 2006, 1, 13,2006/04/23 13:00:00.000
26759, 5, 2006, 2, 13,2006/05/08 13:00:00.000
26779, 5, 2006, 6, 10,2006/05/05 10:00:00.000
26780, 2, 2006, 5, 11,2006/02/16 11:00:00.000
26860, 5, 2006, 6, 13,2006/05/05 13:00:00.000
26861, 4, 2006, 6, 14,2006/04/28 14:00:00.000
26902, 3, 2006, 5, 13,2006/03/09 13:00:00.000
26959, 5, 2006, 2, 10,2006/05/15 10:00:00.000
26960, 4, 2006, 1, 13,2006/04/23 13:00:00.000
26980, 4, 2006, 6, 14,2006/04/28 14:00:00.000
26999, 5, 2006, 5, 22,2006/05/18 22:00:00.000
27059, 6, 2006, 6, 13,2006/06/02 13:00:00.000
27060, 5, 2006, 7, 20,2006/05/27 20:00:00.000
27081, 1, 2006, 6, 13,2006/01/27 13:00:00.000
27140, 5, 2006, 3, 12,2006/05/16 12:00:00.000
27162, 5, 2006, 7, 18,2006/05/27 18:00:00.000
27180, 6, 2006, 4, 23,2006/06/21 23:00:00.000
27260, 6, 2006, 4, 13,2006/06/28 13:00:00.000
27261, 6, 2006, 3, 11,2006/06/27 11:00:00.000
27302, 2, 2006, 4, 14,2006/02/15 14:00:00.000
27306, 7, 2006, 5, 16,2006/07/06 16:00:00.000
27347, 7, 2006, 3, 12,2006/07/18 12:00:00.000
27356, 6, 2006, 1, 15,2006/06/11 15:00:00.000
27375, 7, 2006, 7, 19,2006/07/29 19:00:00.000
27389, 6, 2006, 6, 14,2006/06/30 14:00:00.000
27409, 6, 2006, 7, 19,2006/06/24 19:00:00.000
27410, 7, 2006, 2, 10,2006/07/03 10:00:00.000
27449, 8, 2006, 5, 0,2006/08/10 00:00:00.000
27469, 8, 2006, 5, 14,2006/08/24 14:00:00.000
27489, 8, 2006, 4, 16,2006/08/16 16:00:00.000
27490, 7, 2006, 1, 16,2006/07/23 16:00:00.000
27531, 8, 2006, 1, 13,2006/08/20 13:00:00.000
27532, 8, 2006, 4, 14,2006/08/09 14:00:00.000
27569, 5, 2006, 3, 20,2006/05/02 20:00:00.000
27633, 8, 2006, 1, 12,2006/08/20 12:00:00.000
27668, 9, 2006, 5, 17,2006/09/14 17:00:00.000
27671, 8, 2006, 3, 16,2006/08/08 16:00:00.000
27689, 9, 2006, 2, 12,2006/09/04 12:00:00.000
27690, 9, 2006, 2, 17,2006/09/25 17:00:00.000
27709, 9, 2006, 6, 18,2006/09/22 18:00:00.000
27729, 7, 2006, 4, 0,2006/07/12 00:00:00.000
27730, 8, 2006, 1, 15,2006/08/27 15:00:00.000
27809, 8, 2006, 2, 13,2006/08/14 13:00:00.000
27811, 9, 2006, 2, 14,2006/09/04 14:00:00.000
27812, 9, 2006, 4, 15,2006/09/27 15:00:00.000
27813, 9, 2006, 3, 11,2006/09/19 11:00:00.000
27834, 10, 2006, 2, 20,2006/10/02 20:00:00.000
27852, 6, 2006, 6, 13,2006/06/16 13:00:00.000
27853, 9, 2006, 6, 18,2006/09/15 18:00:00.000
27932, 2, 2006, 4, 0,2006/02/22 00:00:00.000
27933, 11, 2006, 2, 2,2006/11/06 02:00:00.000
27935, 10, 2006, 6, 22,2006/10/13 22:00:00.000
27952, 11, 2006, 1, 15,2006/11/19 15:00:00.000
27953, 10, 2006, 1, 19,2006/10/22 19:00:00.000
28015, 10, 2006, 5, 20,2006/10/19 20:00:00.000
28016, 11, 2006, 4, 16,2006/11/08 16:00:00.000
28033, 11, 2006, 5, 10,2006/11/23 10:00:00.000
28053, 11, 2006, 5, 12,2006/11/16 12:00:00.000
28073, 12, 2006, 6, 10,2006/12/01 10:00:00.000
28093, 12, 2006, 1, 16,2006/12/10 16:00:00.000
28094, 11, 2006, 1, 17,2006/11/19 17:00:00.000
28096, 11, 2006, 1, 20,2006/11/12 20:00:00.000
28114, 11, 2006, 7, 16,2006/11/25 16:00:00.000
28115, 10, 2006, 6, 9,2006/10/06 09:00:00.000
28117, 11, 2006, 3, 17,2006/11/14 17:00:00.000
28133, 12, 2006, 1, 21,2006/12/17 21:00:00.000
28155, 12, 2006, 3, 18,2006/12/19 18:00:00.000
28156, 12, 2006, 7, 17,2006/12/16 17:00:00.000
28173, 12, 2006, 2, 17,2006/12/11 17:00:00.000
28193, 12, 2006, 7, 20,2006/12/09 20:00:00.000
28235, 12, 2006, 3, 9,2006/12/12 09:00:00.000
28236, 12, 2006, 4, 12,2006/12/13 12:00:00.000
28256, 1, 2007, 1, 11,2007/01/07 11:00:00.000
28335, 1, 2007, 6, 12,2007/01/19 12:00:00.000
28355, 1, 2007, 5, 9,2007/01/18 09:00:00.000
28375, 1, 2007, 6, 18,2007/01/26 18:00:00.000
28376, 12, 2006, 7, 13,2006/12/30 13:00:00.000
28377, 1, 2007, 7, 11,2007/01/27 11:00:00.000
28379, 1, 2007, 4, 9,2007/01/31 09:00:00.000
28381, 1, 2007, 7, 3,2007/01/20 03:00:00.000
28395, 2, 2007, 4, 10,2007/02/07 10:00:00.000
28437, 2, 2007, 6, 20,2007/02/16 20:00:00.000
28455, 2, 2007, 6, 18,2007/02/23 18:00:00.000
28475, 1, 2007, 3, 16,2007/01/30 16:00:00.000
28575, 2, 2007, 6, 19,2007/02/09 19:00:00.000
28615, 3, 2007, 3, 15,2007/03/27 15:00:00.000
28617, 3, 2007, 4, 16,2007/03/14 16:00:00.000
28636, 3, 2007, 4, 17,2007/03/28 17:00:00.000
28735, 3, 2007, 7, 20,2007/03/31 20:00:00.000
28775, 3, 2007, 7, 17,2007/03/31 17:00:00.000
28795, 4, 2007, 4, 14,2007/04/04 14:00:00.000
28815, 4, 2007, 7, 12,2007/04/07 12:00:00.000
28915, 4, 2007, 2, 6,2007/04/16 06:00:00.000
28935, 4, 2007, 4, 10,2007/04/11 10:00:00.000
28955, 2, 2007, 5, 8,2007/02/01 08:00:00.000
29095, 2, 2007, 5, 12,2007/02/08 12:00:00.000
29159, 1, 2007, 2, 20,2007/01/15 20:00:00.000
29161, 4, 2007, 7, 8,2007/04/21 08:00:00.000
29175, 4, 2007, 5, 12,2007/04/26 12:00:00.000
29195, 5, 2007, 7, 16,2007/05/05 16:00:00.000
29215, 5, 2007, 5, 10,2007/05/17 10:00:00.000
29216, 3, 2007, 4, 20,2007/03/07 20:00:00.000
29218, 4, 2007, 4, 12,2007/04/11 12:00:00.000
29255, 5, 2007, 3, 11,2007/05/15 11:00:00.000
29275, 12, 2006, 6, 18,2006/12/22 18:00:00.000
29495, 6, 2007, 7, 12,2007/06/16 12:00:00.000
29535, 6, 2007, 6, 16,2007/06/15 16:00:00.000
29555, 6, 2007, 6, 16,2007/06/15 16:00:00.000
29618, 6, 2007, 7, 13,2007/06/16 13:00:00.000
29619, 6, 2007, 4, 15,2007/06/20 15:00:00.000
29620, 9, 2006, 4, 23,2006/09/13 23:00:00.000
29655, 7, 2007, 1, 17,2007/07/08 17:00:00.000
29677, 4, 2007, 6, 17,2007/04/27 17:00:00.000
29678, 3, 2007, 2, 17,2007/03/19 17:00:00.000
29735, 7, 2007, 1, 3,2007/07/01 03:00:00.000
29736, 6, 2007, 6, 11,2007/06/15 11:00:00.000
29796, 7, 2007, 4, 10,2007/07/11 10:00:00.000
29855, 6, 2007, 7, 14,2007/06/30 14:00:00.000
29858, 7, 2007, 6, 15,2007/07/13 15:00:00.000
29859, 7, 2007, 3, 21,2007/07/17 21:00:00.000
29860, 7, 2007, 2, 15,2007/07/16 15:00:00.000
29861, 7, 2007, 7, 18,2007/07/21 18:00:00.000
29895, 7, 2007, 7, 11,2007/07/21 11:00:00.000
29915, 7, 2007, 5, 8,2007/07/05 08:00:00.000
29916, 6, 2007, 3, 20,2007/06/12 20:00:00.000
29918, 7, 2007, 3, 19,2007/07/24 19:00:00.000
29936, 7, 2007, 5, 9,2007/07/26 09:00:00.000
29955, 8, 2007, 4, 18,2007/08/01 18:00:00.000
29975, 6, 2006, 1, 13,2006/06/04 13:00:00.000
29976, 7, 2006, 6, 13,2006/07/07 13:00:00.000
29977, 8, 2006, 5, 20,2006/08/24 20:00:00.000
29995, 8, 2007, 4, 15,2007/08/01 15:00:00.000
30016, 7, 2007, 2, 16,2007/07/16 16:00:00.000
30035, 3, 2007, 6, 23,2007/03/09 23:00:00.000
30036, 3, 2007, 3, 23,2007/03/06 23:00:00.000
30037, 2, 2007, 5, 20,2007/02/01 20:00:00.000
30039, 4, 2007, 3, 11,2007/04/03 11:00:00.000
30040, 3, 2007, 6, 19,2007/03/23 19:00:00.000
30041, 3, 2007, 6, 20,2007/03/16 20:00:00.000
30044, 7, 2007, 7, 12,2007/07/14 12:00:00.000
30045, 7, 2007, 5, 16,2007/07/12 16:00:00.000
30179, 8, 2007, 6, 19,2007/08/10 19:00:00.000
30180, 8, 2007, 5, 12,2007/08/09 12:00:00.000
30181, 8, 2007, 5, 17,2007/08/09 17:00:00.000
30250, 8, 2007, 3, 20,2007/08/07 20:00:00.000
30316, 8, 2007, 4, 3,2007/08/22 03:00:00.000
30335, 8, 2007, 3, 14,2007/08/21 14:00:00.000
30375, 9, 2006, 6, 19,2006/09/29 19:00:00.000
30375, 9, 2006, 6, 19,2006/09/29 19:00:00.000
30417, 9, 2007, 1, 17,2007/09/02 17:00:00.000
30475, 9, 2007, 2, 17,2007/09/03 17:00:00.000
30535, 9, 2007, 3, 19,2007/09/11 19:00:00.000
30555, 9, 2007, 2, 16,2007/09/17 16:00:00.000
30556, 9, 2007, 5, 10,2007/09/20 10:00:00.000
30595, 9, 2007, 4, 13,2007/09/19 13:00:00.000
30636, 9, 2007, 6, 14,2007/09/21 14:00:00.000
30640, 9, 2007, 7, 14,2007/09/22 14:00:00.000
30655, 10, 2007, 6, 19,2007/10/05 19:00:00.000
30656, 9, 2007, 1, 19,2007/09/16 19:00:00.000
30658, 9, 2007, 2, 14,2007/09/03 14:00:00.000
30677, 9, 2007, 4, 18,2007/09/26 18:00:00.000
30680, 9, 2007, 3, 16,2007/09/11 16:00:00.000
30681, 10, 2007, 1, 20,2007/10/07 20:00:00.000
30879, 10, 2007, 4, 20,2007/10/17 20:00:00.000
30895, 10, 2007, 4, 10,2007/10/31 10:00:00.000
30896, 10, 2007, 4, 19,2007/10/24 19:00:00.000
30915, 2, 2007, 6, 0,2007/02/16 00:00:00.000
30979, 9, 2006, 3, 9,2006/09/19 09:00:00.000
31036, 11, 2007, 2, 19,2007/11/05 19:00:00.000
31038, 11, 2007, 4, 18,2007/11/07 18:00:00.000
31076, 12, 2007, 4, 9,2007/12/05 09:00:00.000
31077, 11, 2007, 6, 12,2007/11/16 12:00:00.000
31078, 11, 2007, 1, 16,2007/11/04 16:00:00.000
31079, 11, 2007, 5, 21,2007/11/22 21:00:00.000
31080, 11, 2007, 6, 12,2007/11/23 12:00:00.000
31081, 11, 2007, 4, 9,2007/11/21 09:00:00.000
31128, 11, 2007, 5, 18,2007/11/01 18:00:00.000
31129, 11, 2007, 5, 13,2007/11/22 13:00:00.000
31197, 11, 2007, 5, 17,2007/11/01 17:00:00.000
31255, 10, 2007, 4, 14,2007/10/03 14:00:00.000
31275, 12, 2007, 7, 12,2007/12/22 12:00:00.000
31276, 12, 2007, 7, 22,2007/12/15 22:00:00.000
31277, 12, 2007, 7, 13,2007/12/08 13:00:00.000
31278, 12, 2007, 2, 19,2007/12/17 19:00:00.000
31315, 12, 2007, 1, 19,2007/12/30 19:00:00.000
31316, 12, 2007, 4, 11,2007/12/19 11:00:00.000
31335, 11, 2007, 2, 20,2007/11/26 20:00:00.000
31375, 9, 2007, 6, 0,2007/09/28 00:00:00.000
31377, 12, 2007, 5, 20,2007/12/20 20:00:00.000
31379, 1, 2008, 6, 11,2008/01/11 11:00:00.000
31395, 1, 2008, 3, 11,2008/01/15 11:00:00.000
31396, 1, 2008, 7, 9,2008/01/05 09:00:00.000
31415, 11, 2007, 5, 13,2007/11/01 13:00:00.000
31416, 11, 2007, 2, 11,2007/11/05 11:00:00.000
31435, 12, 2007, 7, 20,2007/12/29 20:00:00.000
31455, 1, 2008, 2, 13,2008/01/21 13:00:00.000
31456, 1, 2008, 5, 22,2008/01/31 22:00:00.000
31475, 1, 2008, 1, 19,2008/01/06 19:00:00.000
31595, 1, 2008, 3, 13,2008/01/08 13:00:00.000
31635, 1, 2006, 1, 23,2006/01/08 23:00:00.000
31675, 2, 2008, 3, 20,2008/02/05 20:00:00.000
31676, 2, 2008, 1, 12,2008/02/10 12:00:00.000
31695, 2, 2008, 7, 9,2008/02/09 09:00:00.000
31715, 2, 2008, 2, 15,2008/02/11 15:00:00.000
31855, 2, 2008, 3, 19,2008/02/26 19:00:00.000
31856, 1, 2008, 4, 12,2008/01/23 12:00:00.000
31857, 1, 2008, 6, 14,2008/01/04 14:00:00.000
31858, 2, 2008, 7, 14,2008/02/23 14:00:00.000
31859, 3, 2008, 6, 13,2008/03/07 13:00:00.000
31860, 1, 2008, 5, 13,2008/01/24 13:00:00.000
31861, 3, 2008, 7, 14,2008/03/01 14:00:00.000
31863, 2, 2008, 4, 20,2008/02/06 20:00:00.000
31864, 3, 2008, 1, 14,2008/03/02 14:00:00.000
31865, 2, 2008, 2, 15,2008/02/04 15:00:00.000
31866, 2, 2008, 3, 13,2008/02/12 13:00:00.000
31867, 1, 2008, 6, 21,2008/01/11 21:00:00.000
31868, 1, 2008, 7, 12,2008/01/26 12:00:00.000
31869, 1, 2008, 3, 3,2008/01/29 03:00:00.000
31871, 2, 2008, 7, 11,2008/02/23 11:00:00.000
31875, 2, 2008, 1, 13,2008/02/17 13:00:00.000
31975, 3, 2008, 2, 14,2008/03/17 14:00:00.000
31979, 3, 2008, 5, 1,2008/03/20 01:00:00.000
31995, 3, 2008, 7, 19,2008/03/01 19:00:00.000
32018, 3, 2008, 4, 19,2008/03/26 19:00:00.000
32035, 3, 2008, 1, 10,2008/03/30 10:00:00.000
32036, 4, 2008, 3, 7,2008/04/01 07:00:00.000
32055, 4, 2008, 5, 18,2008/04/03 18:00:00.000
32076, 4, 2008, 4, 18,2008/04/02 18:00:00.000
32137, 4, 2008, 5, 16,2008/04/03 16:00:00.000
32155, 2, 2008, 7, 13,2008/02/02 13:00:00.000
32156, 1, 2008, 4, 18,2008/01/30 18:00:00.000
32195, 4, 2008, 4, 21,2008/04/09 21:00:00.000
32196, 4, 2008, 4, 20,2008/04/09 20:00:00.000
32284, 4, 2008, 5, 11,2008/04/17 11:00:00.000
32355, 3, 2008, 2, 9,2008/03/31 09:00:00.000
32375, 3, 2008, 1, 20,2008/03/23 20:00:00.000
32376, 4, 2008, 7, 21,2008/04/19 21:00:00.000
32377, 4, 2008, 2, 19,2008/04/21 19:00:00.000
32378, 4, 2008, 2, 19,2008/04/21 19:00:00.000
32379, 4, 2008, 4, 22,2008/04/30 22:00:00.000
32380, 5, 2008, 1, 20,2008/05/04 20:00:00.000
32478, 5, 2008, 2, 1,2008/05/05 01:00:00.000
32579, 6, 2008, 7, 14,2008/06/07 14:00:00.000
32615, 6, 2008, 3, 20,2008/06/10 20:00:00.000
32635, 3, 2007, 4, 20,2007/03/14 20:00:00.000
32638, 4, 2008, 7, 0,2008/04/05 00:00:00.000
32641, 6, 2008, 4, 11,2008/06/11 11:00:00.000
32642, 5, 2008, 4, 10,2008/05/28 10:00:00.000
32655, 5, 2008, 5, 20,2008/05/15 20:00:00.000
32675, 5, 2008, 4, 19,2008/05/14 19:00:00.000
32676, 5, 2008, 6, 20,2008/05/02 20:00:00.000
32916, 6, 2008, 2, 20,2008/06/23 20:00:00.000
33024, 6, 2008, 6, 23,2008/06/20 23:00:00.000
33035, 7, 2008, 3, 10,2008/07/01 10:00:00.000
33077, 7, 2008, 3, 0,2008/07/01 00:00:00.000
33218, 7, 2008, 4, 14,2008/07/09 14:00:00.000
33219, 7, 2008, 5, 21,2008/07/03 21:00:00.000
33221, 7, 2008, 4, 13,2008/07/09 13:00:00.000
33223, 7, 2008, 5, 20,2008/07/10 20:00:00.000
33275, 7, 2008, 6, 18,2008/07/11 18:00:00.000
33278, 7, 2008, 6, 13,2008/07/11 13:00:00.000
33315, 7, 2008, 3, 14,2008/07/15 14:00:00.000
33335, 7, 2008, 1, 14,2008/07/13 14:00:00.000
33378, 12, 2007, 6, 12,2007/12/21 12:00:00.000
33435, 4, 2007, 3, 12,2007/04/10 12:00:00.000
33480, 2, 2007, 1, 20,2007/02/25 20:00:00.000
33695, 9, 2006, 7, 18,2006/09/30 18:00:00.000
33715, 10, 2006, 3, 0,2006/10/31 00:00:00.000
33835, 10, 2008, 6, 21,2008/10/10 21:00:00.000
33836, 10, 2008, 6, 14,2008/10/10 14:00:00.000
33855, 10, 2008, 1, 13,2008/10/12 13:00:00.000
33856, 10, 2008, 6, 19,2008/10/10 19:00:00.000
33918, 10, 2008, 1, 18,2008/10/05 18:00:00.000
34016, 10, 2008, 1, 21,2008/10/12 21:00:00.000
34037, 10, 2008, 3, 10,2008/10/14 10:00:00.000
34038, 6, 2008, 6, 16,2008/06/13 16:00:00.000
34040, 8, 2008, 2, 10,2008/08/04 10:00:00.000
34075, 3, 2008, 4, 16,2008/03/05 16:00:00.000
34076, 7, 2008, 7, 20,2008/07/19 20:00:00.000
34077, 8, 2008, 4, 22,2008/08/27 22:00:00.000
34078, 8, 2008, 5, 15,2008/08/07 15:00:00.000
34079, 9, 2008, 4, 12,2008/09/03 12:00:00.000
34080, 8, 2008, 3, 19,2008/08/05 19:00:00.000
34081, 7, 2008, 4, 0,2008/07/02 00:00:00.000
34082, 8, 2008, 3, 16,2008/08/05 16:00:00.000
34083, 9, 2008, 5, 19,2008/09/11 19:00:00.000
34095, 9, 2008, 2, 19,2008/09/08 19:00:00.000
34096, 9, 2008, 6, 16,2008/09/12 16:00:00.000
34257, 10, 2008, 4, 14,2008/10/22 14:00:00.000
34296, 9, 2008, 6, 14,2008/09/05 14:00:00.000
34339, 10, 2008, 7, 19,2008/10/25 19:00:00.000
34340, 10, 2008, 2, 18,2008/10/27 18:00:00.000
34415, 11, 2008, 4, 12,2008/11/05 12:00:00.000
34416, 11, 2008, 7, 19,2008/11/01 19:00:00.000
34435, 10, 2008, 4, 20,2008/10/15 20:00:00.000
34495, 11, 2008, 1, 13,2008/11/30 13:00:00.000
34496, 10, 2008, 3, 17,2008/10/28 17:00:00.000
34497, 11, 2008, 1, 12,2008/11/02 12:00:00.000
34498, 11, 2008, 4, 12,2008/11/05 12:00:00.000
34500, 11, 2008, 6, 9,2008/11/07 09:00:00.000
34501, 11, 2008, 1, 14,2008/11/23 14:00:00.000
34502, 11, 2008, 7, 12,2008/11/22 12:00:00.000
34503, 11, 2008, 4, 13,2008/11/26 13:00:00.000
34515, 11, 2008, 1, 12,2008/11/16 12:00:00.000
34516, 11, 2008, 7, 13,2008/11/15 13:00:00.000
34518, 11, 2008, 3, 14,2008/11/11 14:00:00.000
34535, 11, 2008, 7, 20,2008/11/08 20:00:00.000
34536, 11, 2008, 6, 13,2008/11/07 13:00:00.000
34537, 11, 2008, 1, 16,2008/11/30 16:00:00.000
34538, 12, 2008, 4, 19,2008/12/03 19:00:00.000
34539, 12, 2008, 1, 11,2008/12/07 11:00:00.000
34540, 12, 2008, 1, 20,2008/12/07 20:00:00.000
34555, 11, 2008, 6, 20,2008/11/28 20:00:00.000
34575, 9, 2008, 1, 20,2008/09/14 20:00:00.000
34639, 11, 2008, 3, 17,2008/11/25 17:00:00.000
34646, 11, 2008, 6, 20,2008/11/14 20:00:00.000
34650, 12, 2008, 2, 20,2008/12/01 20:00:00.000
34651, 12, 2008, 6, 9,2008/12/05 09:00:00.000
34656, 12, 2008, 5, 12,2008/12/11 12:00:00.000
34659, 12, 2008, 2, 17,2008/12/08 17:00:00.000
34696, 11, 2008, 7, 4,2008/11/01 04:00:00.000
34739, 11, 2008, 5, 12,2008/11/27 12:00:00.000
34755, 12, 2007, 2, 18,2007/12/17 18:00:00.000
34775, 12, 2008, 2, 14,2008/12/08 14:00:00.000
34776, 12, 2008, 5, 17,2008/12/04 17:00:00.000
34836, 12, 2008, 2, 11,2008/12/29 11:00:00.000
34838, 12, 2008, 3, 12,2008/12/30 12:00:00.000
34840, 10, 2008, 2, 12,2008/10/20 12:00:00.000
34841, 10, 2008, 5, 18,2008/10/30 18:00:00.000
34842, 12, 2008, 3, 16,2008/12/23 16:00:00.000
34844, 12, 2008, 7, 12,2008/12/27 12:00:00.000
34855, 11, 2008, 2, 17,2008/11/10 17:00:00.000
34856, 12, 2008, 5, 12,2008/12/18 12:00:00.000
34858, 12, 2008, 5, 10,2008/12/18 10:00:00.000
34897, 12, 2008, 1, 15,2008/12/14 15:00:00.000
34898, 12, 2008, 2, 17,2008/12/15 17:00:00.000
34915, 2, 2009, 4, 10,2009/02/04 10:00:00.000
34935, 2, 2009, 7, 17,2009/02/07 17:00:00.000
