codigo_ocorrencia;uf;codigo_aeronave;equipamento;tipo_motor;ano_fabricacao;categoria_aviacao;tipo_operacao;quantidade_fatalidades;codigo_fator;aspecto;mes;ano;dia_semana;hora
25799;SP;9035;AVI«O      ;PIST«O    ;1997;PARTICULAR          ;PRIVADA   ;2;11010                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2006; 2; 11
25819;RS;9036;AVI«O      ;PIST«O    ;1974;AGR÷COLA            ;AGR÷COLA  ;0;11015                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2006; 5; 20
25820;AP;6794;AVI«O      ;PIST«O    ;1976;TµXI A?REO          ;TµXI A?REO;0;                                                                                                                                ;                             ; 1; 2006; 2; 12
25839;EX;9038;AVI«O      ;PIST«O    ;1982;PARTICULAR          ;PRIVADA   ;4;                                                                                                                                ;                             ; 1; 2006; 3; 0
25999;RS;3653;AVI«O      ;PIST«O    ;1960;INSTRUÄ«O           ;INSTRUÄ«O ;0;                                                                                                                                ;                             ; 1; 2006; 5; 14
26099;PR;7991;AVI«O      ;PIST«O    ;1968;AGR÷COLA            ;AGR÷COLA  ;0;11045                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2006; 7; 13
26119;RS;9049;HELIC‡PTERO;TURBOEIXO ;1990;PARTICULAR          ;PRIVADA   ;2;11048                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2006; 7; 19
26120;PE;7800;AVI«O      ;PIST«O    ;1951;ESPECIALIZADA       ;ESPECIALIZ;0;11052                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2006; 7; 11
26121;SP;9051;AVI«O      ;PIST«O    ;1976;AGR÷COLA            ;AGR÷COLA  ;0;11060                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 1; 2006; 2; 14
26139;MG;9052;HELIC‡PTERO;TURBOEIXO ;1986;ADMINISTRAÄ«O DIRETA;POLICIAL  ;0;15728                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2006; 4; 16
26140;RJ;9053;HELIC‡PTERO;TURBOEIXO ;2004;TµXI A?REO          ;TµXI A?REO;1;11063                                                                                                                           ;ASPECTO M√âDICO              ; 1; 2006; 1; 20
26179;SC;9055;AVI«O      ;PIST«O    ;1969;AGR÷COLA            ;AGR÷COLA  ;0;11068                                                                                                                           ;DESEMPENHO DO SER HUMANO     ; 2; 2006; 7; 10
