codigo_aeronave;codigo_ocorrencia;matricula;codigo_operador;equipamento;fabricante;modelo;tipo_motor;quantidade_motores;peso_maximo_decolagem;quantidade_assentos;ano_fabricacao;pais_registro;categoria_registro;categoria_aviacao;origem_voo;destino_voo;fase_operacao;tipo_operacao;nivel_dano;quantidade_fatalidades;dia_extracao
4;45602;PPGXE;241;AVI«O;NEIVA INDUSTRIA AERONAUTICA;56-C;PIST«O;1;660;2;1962;BRASIL;PRI;INSTRUÄ«O;SDPW;SDPW;INDETERMINADA;INSTRUÄ«O;SUBSTANCIAL;0;30/07/2016
40;53551;PPGSZ;160;AVI«O;NEIVA INDUSTRIA AERONAUTICA;56-C;PIST«O;1;660;2;1960;BRASIL;PRI;INSTRUÄ«O;SBBP;SBBP;DECOLAGEM;INSTRUÄ«O;LEVE;0;30/07/2016
118;43721;PTCMT;1232;AVI«O;BEECH AIRCRAFT;95-B55;PIST«O;2;2310;6;1966;BRASIL;TPX;TµXI AêREO;****;****;CORRIDA AP‡S POUSO;TµXI AêREO;SUBSTANCIAL;0;30/07/2016
130;35556;PTEQI;3992;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-721C;PIST«O;1;1633;6;1979;BRASIL;TPP;PARTICULAR;SNDU;SBSL;CORRIDA AP‡S POUSO;PRIVADA;LEVE;0;30/07/2016
191;32579;PPVMM;4365;AVI«O;BOEING COMPANY;737-241;JATO;2;52389;117;1975;BRASIL;TPR;REGULAR;****;****;SUBIDA;REGULAR;NENHUM;0;30/07/2016
206;38376;PTKDW;3992;AVI«O;CESSNA AIRCRAFT;182P;PIST«O;1;1338;4;1974;BRASIL;TPP;PARTICULAR;SJCY;SIBX;CORRIDA AP‡S POUSO;PRIVADA;SUBSTANCIAL;0;30/07/2016
213;50332;PTNOE;3992;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-711C;PIST«O;1;1202;4;1977;BRASIL;TPP;PARTICULAR;SSCT;SBMG;DECOLAGEM;PRIVADA;SUBSTANCIAL;0;30/07/2016
221;51531;PTIZV;283;AVI«O;PIPER AIRCRAFT;PA-28-140;PIST«O;1;884;2;1973;BRASIL;PRI;INSTRUÄ«O;SBMT;SBMT;MANOBRA;INSTRUÄ«O;SUBSTANCIAL;0;30/07/2016
248;35675;PTHML;4158;HELIC‡PTERO;HELIBRAS;HB-350B;TURBOEIXO;1;1950;6;1983;BRASIL;ADE;ADMINISTRAÄ«O DIRETA;SBFL;****;PAIRADO;POLICIAL;NENHUM;0;30/07/2016
248;48012;PTHML;2486;HELIC‡PTERO;HELIBRAS;HB-350B;TURBOEIXO;1;1950;6;1983;BRASIL;M14;MÈLTIPLA;****;****;APROXIMAÄ«O FINAL;TµXI AêREO;SUBSTANCIAL;0;30/07/2016
252;34650;PTRMP;3175;AVI«O;EMBRAER;EMB-810C;PIST«O;2;2073;7;1982;BRASIL;TPX;TµXI AêREO;****;****;CORRIDA AP‡S POUSO;TµXI AêREO;NENHUM;0;30/07/2016
252;27410;PTRMP;3175;AVI«O;EMBRAER;EMB-810C;PIST«O;2;2073;7;1982;BRASIL;TPX;TµXI AêREO;****;****;INDETERMINADA;TµXI AêREO;***;0;30/07/2016
